x,y,test,timesteps_after_reftime
2021-01-01 00:00:00,30.574,1.0,0
2021-01-01 00:00:00,21.36,2.0,0
2021-01-01 00:00:00,87.6990871052153,3.0,0
2021-01-01 00:00:00,27.00551843195696,4.0,0
2021-01-01 00:00:00,120.8375367163632,5.0,0
2021-01-01 00:00:00,36.0793314692224,6.0,0
2021-01-01 00:00:00,98.2705290374578,7.0,0
2021-01-01 00:00:00,143.0,8.0,0
2021-01-01 00:00:00,109.0,9.0,0
2021-01-01 00:00:00,66.8,10.0,0
2021-01-01 00:01:00,30.44641440135291,1.0,1
2021-01-01 00:01:00,21.14434126070301,2.0,1
2021-01-01 00:01:00,87.70119822486674,3.0,1
2021-01-01 00:01:00,26.768823771071517,4.0,1
2021-01-01 00:01:00,120.18121047394948,5.0,1
2021-01-01 00:01:00,35.92100873735356,6.0,1
2021-01-01 00:01:00,97.745,7.0,1
2021-01-01 00:01:00,137.84127271798434,8.0,1
2021-01-01 00:01:00,106.86579191731528,9.0,1
2021-01-01 00:01:00,81.05857317255135,10.0,1
2021-01-01 00:02:00,30.355791749338685,1.0,2
2021-01-01 00:02:00,20.92919476909132,2.0,2
2021-01-01 00:02:00,87.67800133538418,3.0,2
2021-01-01 00:02:00,26.538687174891773,4.0,2
2021-01-01 00:02:00,119.4800630900499,5.0,2
2021-01-01 00:02:00,35.760253886232185,6.0,2
2021-01-01 00:02:00,97.17912971661954,7.0,2
2021-01-01 00:02:00,132.32321980693595,8.0,2
2021-01-01 00:02:00,105.74936060161345,9.0,2
2021-01-01 00:02:00,98.522405778729,10.0,2
2021-01-01 00:03:00,30.298132703705303,1.0,3
2021-01-01 00:03:00,20.71580337404716,2.0,3
2021-01-01 00:03:00,87.63001408793262,3.0,3
2021-01-01 00:03:00,26.315345727961493,4.0,3
2021-01-01 00:03:00,118.73372444434932,5.0,3
2021-01-01 00:03:00,35.595861425990186,6.0,3
2021-01-01 00:03:00,96.57117617050258,7.0,3
2021-01-01 00:03:00,126.65631565124345,8.0,3
2021-01-01 00:03:00,105.52189043883298,9.0,3
2021-01-01 00:03:00,118.2863110998772,10.0,3
2021-01-01 00:04:00,30.26943792420074,1.0,4
2021-01-01 00:04:00,20.505409924452753,2.0,4
2021-01-01 00:04:00,87.55775413367704,3.0,4
2021-01-01 00:04:00,26.099036514824405,4.0,4
2021-01-01 00:04:00,117.9418244165326,5.0,4
2021-01-01 00:04:00,35.4266258667595,6.0,4
2021-01-01 00:04:00,95.918682541989,7.0,4
2021-01-01 00:04:00,121.05103463529537,8.0,4
2021-01-01 00:04:00,106.05456581491237,9.0,4
2021-01-01 00:04:00,139.4451024173401,10.0,4
2021-01-01 00:05:00,30.26570807057299,1.0,5
2021-01-01 00:05:00,20.29925726919032,2.0,5
2021-01-01 00:05:00,87.46173912378235,3.0,5
2021-01-01 00:05:00,25.889996620024277,4.0,5
2021-01-01 00:05:00,117.1039928862846,5.0,5
2021-01-01 00:05:00,35.25134171867202,6.0,5
2021-01-01 00:05:00,95.21919201141878,7.0,5
2021-01-01 00:05:00,115.71785114348025,8.0,5
2021-01-01 00:05:00,107.21857111579008,9.0,5
2021-01-01 00:05:00,161.09359301246187,10.0,5
2021-01-01 00:06:00,30.28294380257002,1.0,6
2021-01-01 00:06:00,20.09858825714208,2.0,6
2021-01-01 00:06:00,87.34248670941362,3.0,6
2021-01-01 00:06:00,25.688463128104853,4.0,6
2021-01-01 00:06:00,116.21985973329014,5.0,6
2021-01-01 00:06:00,35.068803491859676,6.0,6
2021-01-01 00:06:00,94.47024775913194,7.0,6
2021-01-01 00:06:00,110.86723956018672,8.0,6
2021-01-01 00:06:00,108.88509072740456,9.0,6
2021-01-01 00:06:00,182.32659616658668,10.0,6
2021-01-01 00:07:00,30.317145779939818,1.0,7
2021-01-01 00:07:00,19.90464573719024,2.0,7
2021-01-01 00:07:00,87.20051454173574,3.0,7
2021-01-01 00:07:00,25.49467312360988,4.0,7
2021-01-01 00:07:00,115.28905483723412,5.0,7
2021-01-01 00:07:00,34.877805696454395,6.0,7
2021-01-01 00:07:00,93.6693929654684,7.0,7
2021-01-01 00:07:00,106.70967426980334,8.0,7
2021-01-01 00:07:00,110.92530903569433,9.0,7
2021-01-01 00:07:00,202.23892516105872,10.0,7
2021-01-01 00:08:00,30.364314662430363,1.0,8
2021-01-01 00:08:00,19.718672558217037,2.0,8
2021-01-01 00:08:00,87.03634027191372,3.0,8
2021-01-01 00:08:00,25.308863691083104,4.0,8
2021-01-01 00:08:00,114.31120807780133,5.0,8
2021-01-01 00:08:00,34.677142842588076,6.0,8
2021-01-01 00:08:00,92.81417081076808,7.0,8
2021-01-01 00:08:00,103.4556296567187,8.0,8
2021-01-01 00:08:00,113.21041042659782,9.0,8
2021-01-01 00:08:00,219.92539327722213,10.0,8
2021-01-01 00:09:00,30.42045110978963,1.0,9
2021-01-01 00:09:00,19.54191156910469,2.0,9
2021-01-01 00:09:00,86.85048155111248,3.0,9
2021-01-01 00:09:00,25.131271915068293,4.0,9
2021-01-01 00:09:00,113.28594933467669,5.0,9
2021-01-01 00:09:00,34.46560944039264,6.0,9
2021-01-01 00:09:00,91.90212447537095,7.0,9
2021-01-01 00:09:00,101.3155801053214,8.0,9
2021-01-01 00:09:00,115.61157928605355,9.0,9
2021-01-01 00:09:00,234.4808137964212,10.0,9
2021-01-01 00:10:00,30.481555781765607,1.0,10
2021-01-01 00:10:00,19.37560561873541,2.0,10
2021-01-01 00:10:00,86.64345603049702,3.0,10
2021-01-01 00:10:00,24.962134880109176,4.0,10
2021-01-01 00:10:00,112.212908487545,5.0,10
2021-01-01 00:10:00,34.242,6.0,10
2021-01-01 00:10:00,90.93079713961704,7.0,10
2021-01-01 00:10:00,100.5,8.0,10
2021-01-01 00:10:00,118.0,9.0,10
2021-01-01 00:10:00,245.0,10.0,10
2021-01-01 00:11:00,30.543629338106275,1.0,11
2021-01-01 00:11:00,19.22099755599142,2.0,11
2021-01-01 00:11:00,86.41578136123233,3.0,11
2021-01-01 00:11:00,24.80168967074952,4.0,11
2021-01-01 00:11:00,111.09171541609116,5.0,11
2021-01-01 00:11:00,34.005539607945344,6.0,11
2021-01-01 00:11:00,89.8977319838462,7.0,11
2021-01-01 00:11:00,101.1388693420966,8.0,11
2021-01-01 00:11:00,120.26601333033268,9.0,11
2021-01-01 00:11:00,250.84070727273036,10.0,11
2021-01-01 00:12:00,30.602672438559605,1.0,12
2021-01-01 00:12:00,19.079330229754945,2.0,12
2021-01-01 00:12:00,86.16797519448335,3.0,12
2021-01-01 00:12:00,24.65017337153306,4.0,12
2021-01-01 00:12:00,109.922,5.0,12
2021-01-01 00:12:00,33.7571756563769,6.0,12
2021-01-01 00:12:00,88.80047218839847,7.0,12
2021-01-01 00:12:00,103.04019060076756,8.0,12
2021-01-01 00:12:00,122.37658554277547,9.0,12
2021-01-01 00:12:00,252.4124594130944,10.0,12
2021-01-01 00:13:00,30.654685742873585,1.0,13
2021-01-01 00:13:00,18.9518464889082,2.0,13
2021-01-01 00:13:00,85.90055518141506,3.0,13
2021-01-01 00:13:00,24.50782306700357,4.0,13
2021-01-01 00:13:00,108.70470424220396,5.0,13
2021-01-01 00:13:00,33.49828611384618,6.0,13
2021-01-01 00:13:00,87.63656093361375,7.0,13
2021-01-01 00:13:00,105.93147186212283,8.0,13
2021-01-01 00:13:00,124.31783927900943,9.0,13
2021-01-01 00:13:00,250.3877223230021,10.0,13
2021-01-01 00:14:00,30.6956699107962,1.0,14
2021-01-01 00:14:00,18.83978918233341,2.0,14
2021-01-01 00:14:00,85.61403897319242,3.0,14
2021-01-01 00:14:00,24.374875841704775,4.0,14
2021-01-01 00:14:00,107.44601863862609,5.0,14
2021-01-01 00:14:00,33.23024894890467,6.0,14
2021-01-01 00:14:00,86.40354139983202,7.0,14
2021-01-01 00:14:00,109.54022121227224,8.0,14
2021-01-01 00:14:00,126.07589718071546,9.0,14
2021-01-01 00:14:00,245.4389619043631,10.0,14
2021-01-01 00:15:00,30.721625602075424,1.0,15
2021-01-01 00:15:00,18.74440115891279,2.0,15
2021-01-01 00:15:00,85.30894422098042,3.0,15
2021-01-01 00:15:00,24.25156878018043,4.0,15
2021-01-01 00:15:00,106.1534458084369,5.0,15
2021-01-01 00:15:00,32.95444213010391,6.0,15
2021-01-01 00:15:00,85.09895676739325,7.0,15
2021-01-01 00:15:00,113.5939467373257,8.0,15
2021-01-01 00:15:00,127.63688188957455,9.0,15
2021-01-01 00:15:00,238.23864405908736,10.0,15
2021-01-01 00:16:00,30.728553476459226,1.0,16
2021-01-01 00:16:00,18.66692526752856,2.0,16
2021-01-01 00:16:00,84.985788575944,3.0,16
2021-01-01 00:16:00,24.138138966974292,4.0,16
2021-01-01 00:16:00,104.83448837080702,5.0,16
2021-01-01 00:16:00,32.67224362599535,6.0,16
2021-01-01 00:16:00,83.72035021663737,7.0,16
2021-01-01 00:16:00,117.82015652339308,8.0,16
2021-01-01 00:16:00,128.9869160472677,9.0,16
2021-01-01 00:16:00,229.4592346890846,10.0,16
2021-01-01 00:17:00,30.712454193695617,1.0,17
2021-01-01 00:17:00,18.608604357062955,2.0,17
2021-01-01 00:17:00,84.64508968924814,3.0,17
2021-01-01 00:17:00,24.034823486630113,4.0,17
2021-01-01 00:17:00,103.4966489449071,5.0,17
2021-01-01 00:17:00,32.38503140513052,6.0,17
2021-01-01 00:17:00,82.26526492790434,7.0,17
2021-01-01 00:17:00,121.94635865658432,8.0,17
2021-01-01 00:17:00,130.1121222954758,9.0,17
2021-01-01 00:17:00,219.77319969626467,10.0,17
2021-01-01 00:18:00,30.669328413532547,1.0,18
2021-01-01 00:18:00,18.570681276398172,2.0,18
2021-01-01 00:18:00,84.28736521205785,3.0,18
2021-01-01 00:18:00,23.94185942369164,4.0,18
2021-01-01 00:18:00,102.14743014990762,5.0,18
2021-01-01 00:18:00,32.09418343606092,6.0,18
2021-01-01 00:18:00,80.73124408153414,7.0,18
2021-01-01 00:18:00,125.70006122300926,8.0,18
2021-01-01 00:18:00,130.9986232758799,9.0,18
2021-01-01 00:18:00,209.85300498253736,10.0,18
2021-01-01 00:19:00,30.59517679571802,1.0,19
2021-01-01 00:19:00,18.55439887441645,2.0,19
2021-01-01 00:19:00,83.91313279553803,3.0,19
2021-01-01 00:19:00,23.859483862702614,4.0,19
2021-01-01 00:19:00,100.79433460497926,5.0,19
2021-01-01 00:19:00,31.80107768733805,6.0,19
2021-01-01 00:19:00,79.11583085786671,7.0,19
2021-01-01 00:19:00,128.80877230877786,8.0,19
2021-01-01 00:19:00,131.63254163016097,9.0,19
2021-01-01 00:19:00,200.37111644981255,10.0,19
2021-01-01 00:20:00,30.486,1.0,20
2021-01-01 00:20:00,18.561,2.0,20
2021-01-01 00:20:00,83.5229100908537,3.0,20
2021-01-01 00:20:00,23.7879338882068,4.0,20
2021-01-01 00:20:00,99.44486492929258,5.0,20
2021-01-01 00:20:00,31.50709212751341,6.0,20
2021-01-01 00:20:00,77.41656843724203,7.0,20
2021-01-01 00:20:00,131.0,8.0,20
2021-01-01 00:20:00,132.0,9.0,20
2021-01-01 00:20:00,192.0,10.0,20
2021-01-01 00:21:00,30.339004037034247,1.0,21
2021-01-01 00:21:00,18.59114530820867,2.0,21
2021-01-01 00:21:00,83.11721474916978,3.0,21
2021-01-01 00:21:00,23.72744658474795,4.0,21
2021-01-01 00:21:00,98.1065237420182,5.0,21
2021-01-01 00:21:00,31.2136047251385,6.0,21
2021-01-01 00:21:00,75.631,7.0,21
2021-01-01 00:21:00,132.0902499136292,8.0,21
2021-01-01 00:21:00,132.10215476135397,9.0,21
2021-01-01 00:21:00,185.25579773652728,10.0,21
2021-01-01 00:22:00,30.156216321107625,1.0,22
2021-01-01 00:22:00,18.643166678812804,2.0,22
2021-01-01 00:22:00,82.69656442165132,3.0,22
2021-01-01 00:22:00,23.678259036869793,4.0,22
2021-01-01 00:22:00,96.78681366232664,5.0,22
2021-01-01 00:22:00,30.921993448764823,6.0,22
2021-01-01 00:22:00,73.76245936829451,7.0,22
2021-01-01 00:22:00,132.2520177899936,8.0,22
2021-01-01 00:22:00,132.00029722728448,9.0,22
2021-01-01 00:22:00,180.02935656889323,10.0,22
2021-01-01 00:23:00,29.940869617414755,1.0,23
2021-01-01 00:23:00,18.714813797760375,2.0,23
2021-01-01 00:23:00,82.2614767594632,3.0,23
2021-01-01 00:23:00,23.640608329116095,4.0,23
2021-01-01 00:23:00,95.4932373093886,5.0,23
2021-01-01 00:23:00,30.63363626694388,6.0,23
2021-01-01 00:23:00,71.83744293153482,7.0,23
2021-01-01 00:23:00,131.7467969002652,8.0,23
2021-01-01 00:23:00,131.7707524451292,9.0,23
2021-01-01 00:23:00,176.05519960811438,10.0,23
2021-01-01 00:24:00,29.696196691150273,1.0,24
2021-01-01 00:24:00,18.80383635099936,2.0,24
2021-01-01 00:24:00,81.81246941377044,3.0,24
2021-01-01 00:24:00,23.614731546030608,4.0,24
2021-01-01 00:24:00,94.2332973023746,5.0,24
2021-01-01 00:24:00,30.349911148227175,6.0,24
2021-01-01 00:24:00,69.88823772094409,7.0,24
2021-01-01 00:24:00,130.8360805156157,8.0,24
2021-01-01 00:24:00,131.48984546222573,9.0,24
2021-01-01 00:24:00,173.06784996520736,10.0,24
2021-01-01 00:25:00,29.42543030750883,1.0,25
2021-01-01 00:25:00,18.907984024477724,2.0,25
2021-01-01 00:25:00,81.35006003573803,3.0,25
2021-01-01 00:25:00,23.60086577215707,4.0,25
2021-01-01 00:25:00,93.01449626045525,5.0,25
2021-01-01 00:25:00,30.07219606116621,6.0,25
2021-01-01 00:25:00,67.94713076774549,7.0,25
2021-01-01 00:25:00,129.781361907217,8.0,25
2021-01-01 00:25:00,131.23390132591163,9.0,25
2021-01-01 00:25:00,170.80183075118862,10.0,25
2021-01-01 00:26:00,29.13180323168503,1.0,26
2021-01-01 00:26:00,19.025006504143445,2.0,26
2021-01-01 00:26:00,80.87476627653086,3.0,26
2021-01-01 00:26:00,23.59924809203925,4.0,26
2021-01-01 00:26:00,91.84433680280117,5.0,26
2021-01-01 00:26:00,29.801868974312477,6.0,26
2021-01-01 00:26:00,66.0464091031622,7.0,26
2021-01-01 00:26:00,128.8441343462409,8.0,26
2021-01-01 00:26:00,131.07924508352465,9.0,26
2021-01-01 00:26:00,168.99166507707483,10.0,26
2021-01-01 00:27:00,28.81854822887352,1.0,27
2021-01-01 00:27:00,19.15265347594449,2.0,27
2021-01-01 00:27:00,80.38710578731397,3.0,27
2021-01-01 00:27:00,23.610115590220875,4.0,27
2021-01-01 00:27:00,90.73032154858288,5.0,27
2021-01-01 00:27:00,29.540307856217495,6.0,27
2021-01-01 00:27:00,64.21835975841738,7.0,27
2021-01-01 00:27:00,128.28589110385937,8.0,27
2021-01-01 00:27:00,131.10220178240235,9.0,27
2021-01-01 00:27:00,167.3718760538825,10.0,27
2021-01-01 00:28:00,28.488898064268938,1.0,28
2021-01-01 00:28:00,19.288674625828836,2.0,28
2021-01-01 00:28:00,79.88759621925229,3.0,28
